name,short_description,long_description,description,age_rating,image_url,category,release_date,developer,developer_logo_url
Fallout 3,"Fallout 3 from the creators of the award-winning Oblivion, featuring one of the most realized game worlds ever created","Fallout 3 from the creators of the award-winning Oblivion, featuring one of the most realized game worlds ever created. Create any kind of character you want and explore the open wastes of post-apocalyptic Washington D.C. Every minute is a fight for survival as you encounter Super Mutants, Ghouls, Raiders and other dangers of the Wasteland. Prepare for the future.

The third game in the Fallout series, Fallout 3 is a singleplayer action role-playing game (RPG) set in a post-apocalyptic Washington DC. Combining the horrific insanity of the Cold War era theory of mutually assured destruction gone terribly wrong, with the kitschy naivety of American 1950s nuclear propaganda, Fallout 3 will satisfy both players familiar with the popular first two games in its series as well as those coming to the franchise for the first time.","Fallout 3 from the creators of the award-winning Oblivion, featuring one of the most realized game worlds ever created. Create any kind of character you want and explore the open wastes of post-apocalyptic Washington D.C. Every minute is a fight for survival as you encounter Super Mutants, Ghouls, Raiders and other dangers of the Wasteland. Prepare for the future.

The third game in the Fallout series, Fallout 3 is a singleplayer action role-playing game (RPG) set in a post-apocalyptic Washington DC. Combining the horrific insanity of the Cold War era theory of mutually assured destruction gone terribly wrong, with the kitschy naivety of American 1950s nuclear propaganda, Fallout 3 will satisfy both players familiar with the popular first two games in its series as well as those coming to the franchise for the first time.",5,//images.igdb.com/igdb/image/upload/t_thumb/co1ycw.jpg,Shooter,1225152000.0,Bethesda Game Studios,//images.igdb.com/igdb/image/upload/t_thumb/zoq5fmhbkbvs2qkb76kj.jpg
BioShock 2,"A first-person shooter with secondary combat abilities and tower defence elements set after the events of BioShock (2007) in which a Big Daddy prototype named Subject Delta seeks to be reunited with his former appointed Little Sister, Eleanor, and forces through the deadly halls and locales of the underwater city of Rapture, now ruled by a collectivist psychiatrist named Sophia Lamb","A first-person shooter with secondary combat abilities and tower defence elements set after the events of BioShock (2007) in which a Big Daddy prototype named Subject Delta seeks to be reunited with his former appointed Little Sister, Eleanor, and forces through the deadly halls and locales of the underwater city of Rapture, now ruled by a collectivist psychiatrist named Sophia Lamb.","A first-person shooter with secondary combat abilities and tower defence elements set after the events of BioShock (2007) in which a Big Daddy prototype named Subject Delta seeks to be reunited with his former appointed Little Sister, Eleanor, and forces through the deadly halls and locales of the underwater city of Rapture, now ruled by a collectivist psychiatrist named Sophia Lamb.",5,//images.igdb.com/igdb/image/upload/t_thumb/co2mlj.jpg,Shooter,1265673600.0,2K Marin,//images.igdb.com/igdb/image/upload/t_thumb/qv8wl6vpze6toc0mu6sq.jpg
Dragon Age II,"You are Hawke, a refugee seeking to escape the darkspawn-plagued land of Felderen and become Champion of Kirkwall","You are Hawke, a refugee seeking to escape the darkspawn-plagued land of Felderen and become Champion of Kirkwall. Rise to power and fight epic battles while making decisions that determine the course of civilization. Your pursuit of power begins now. How will you seal your place in history?","You are Hawke, a refugee seeking to escape the darkspawn-plagued land of Felderen and become Champion of Kirkwall. Rise to power and fight epic battles while making decisions that determine the course of civilization. Your pursuit of power begins now. How will you seal your place in history?",11,//images.igdb.com/igdb/image/upload/t_thumb/co2mw1.jpg,Role-playing (RPG),1299542400.0,BioWare,//images.igdb.com/igdb/image/upload/t_thumb/dddccldpy7mhzovqengz.jpg
Stubbs the Zombie in Rebel Without a Pulse,The game is set in a fictional City of the Future in 1959,"The game is set in a fictional City of the Future in 1959. Stubbs, a zombie who'll tug at your heartstrings and tickle your funnybone even as he's tearing the living guts right out of your body. This former traveling salesman trades in his briefcase for your braincase as the leading man in Wideload's first game, Stubbs the Zombie in ""Rebel Without a Pulse"".

In this game, players take on the role of the rebel himself Stubbs, a wisecracking Zombie who takes on an ultra-modern city of the future using nothing but his own carcass and the weapons of his possessed enemies. The game's tongue-in-cheek humor, innovative combat and strong storyline keep Stubbs the Zombie's gameplay as bizarre and unpredictable as its namesake.

On his quest, Stubbs lurches his way through numerous large and visually captivating indoor/outdoor environments in and around the gleaming city of Punchbowl, PA, a city built during the Eisenhower administration to show off the ultra-futuristic technology of the 21st century. Stubbs' brain-eating adventure brings him through bustling shopping districts and verdant farmlands to battle mad scientists, rural militiamen and the world's deadliest barbershop quartet. His enemies have shotguns, tanks, and all manner of futuristic weaponry. All Stubbs has is his own rotting corpse, a distinct lack of pain or conscience, and the ability to turn foes into zombie allies.

What begins as one zombie's search for revenge quickly escalates into an all-out war between the living and the dead - but this time it's the zombie fighting for truth, justice and the redemption of true love. Yes, it's a love story too.","The game is set in a fictional City of the Future in 1959. Stubbs, a zombie who'll tug at your heartstrings and tickle your funnybone even as he's tearing the living guts right out of your body. This former traveling salesman trades in his briefcase for your braincase as the leading man in Wideload's first game, Stubbs the Zombie in ""Rebel Without a Pulse"".

In this game, players take on the role of the rebel himself Stubbs, a wisecracking Zombie who takes on an ultra-modern city of the future using nothing but his own carcass and the weapons of his possessed enemies. The game's tongue-in-cheek humor, innovative combat and strong storyline keep Stubbs the Zombie's gameplay as bizarre and unpredictable as its namesake.

On his quest, Stubbs lurches his way through numerous large and visually captivating indoor/outdoor environments in and around the gleaming city of Punchbowl, PA, a city built during the Eisenhower administration to show off the ultra-futuristic technology of the 21st century. Stubbs' brain-eating adventure brings him through bustling shopping districts and verdant farmlands to battle mad scientists, rural militiamen and the world's deadliest barbershop quartet. His enemies have shotguns, tanks, and all manner of futuristic weaponry. All Stubbs has is his own rotting corpse, a distinct lack of pain or conscience, and the ability to turn foes into zombie allies.

What begins as one zombie's search for revenge quickly escalates into an all-out war between the living and the dead - but this time it's the zombie fighting for truth, justice and the redemption of true love. Yes, it's a love story too.",11,//images.igdb.com/igdb/image/upload/t_thumb/co2oy0.jpg,Adventure,1129593600.0,Wideload Games,
Left 4 Dead,"From Valve (the creators of Counter-Strike, Half-Life and more) comes Left 4 Dead, a co-op action horror game for the PC and Xbox 360 that casts up to four players in an epic struggle for survival against swarming zombie hordes and terrifying mutant monsters","From Valve (the creators of Counter-Strike, Half-Life and more) comes Left 4 Dead, a co-op action horror game for the PC and Xbox 360 that casts up to four players in an epic struggle for survival against swarming zombie hordes and terrifying mutant monsters.

Set in the immediate aftermath of the zombie apocalypse, L4D's survival co-op mode lets you blast a path through the infected in four unique “movies,” guiding your survivors across the rooftops of an abandoned metropolis, through rural ghost towns and pitch-black forests in your quest to escape a devastated Ground Zero crawling with infected enemies. Each ""movie"" is comprised of five large maps, and can be played by one to four human players, with an emphasis on team-based strategy and objectives.

New technology dubbed ""the AI Director"" is used to generate a unique gameplay experience every time you play. The Director tailors the frequency and ferocity of the zombie attacks to your performance, putting you in the middle of a fast-paced, but not overwhelming, Hollywood horror movie.

Addictive single player, co-op, and multiplayer action gameplay from the makers of Counter-Strike and Half-Life Versus Mode lets you compete four-on-four with friends, playing as a human trying to get rescued, or as a zombie boss monster that will stop at nothing to destroy them.","From Valve (the creators of Counter-Strike, Half-Life and more) comes Left 4 Dead, a co-op action horror game for the PC and Xbox 360 that casts up to four players in an epic struggle for survival against swarming zombie hordes and terrifying mutant monsters.

Set in the immediate aftermath of the zombie apocalypse, L4D's survival co-op mode lets you blast a path through the infected in four unique “movies,” guiding your survivors across the rooftops of an abandoned metropolis, through rural ghost towns and pitch-black forests in your quest to escape a devastated Ground Zero crawling with infected enemies. Each ""movie"" is comprised of five large maps, and can be played by one to four human players, with an emphasis on team-based strategy and objectives.

New technology dubbed ""the AI Director"" is used to generate a unique gameplay experience every time you play. The Director tailors the frequency and ferocity of the zombie attacks to your performance, putting you in the middle of a fast-paced, but not overwhelming, Hollywood horror movie.

Addictive single player, co-op, and multiplayer action gameplay from the makers of Counter-Strike and Half-Life Versus Mode lets you compete four-on-four with friends, playing as a human trying to get rescued, or as a zombie boss monster that will stop at nothing to destroy them.",5,//images.igdb.com/igdb/image/upload/t_thumb/co1qrm.jpg,Shooter,1226880000.0,Valve Corporation,//images.igdb.com/igdb/image/upload/t_thumb/cl2he.jpg
Left 4 Dead 2,"Left 4 Dead 2 is a cooperative first-person shooter video game, the sequel to Valve Corporation's Left 4 Dead","Left 4 Dead 2 is a cooperative first-person shooter video game, the sequel to Valve Corporation's Left 4 Dead. The Game builds upon cooperatively focused gameplay and Valve's proprietary Source engine, the same game engine used in the original Left 4 Dead. Set during the aftermath of an apocalyptic pandemic, Left 4 Dead 2 focuses on four new Survivors, fighting against hordes of the Infected, who develop severe psychosis and exhibit zombie-like tendencies. The Survivors must fight their way through five campaigns, interspersed with safe houses that act as checkpoints, with the goal of escape at each campaign's finale.","Left 4 Dead 2 is a cooperative first-person shooter video game, the sequel to Valve Corporation's Left 4 Dead. The Game builds upon cooperatively focused gameplay and Valve's proprietary Source engine, the same game engine used in the original Left 4 Dead. Set during the aftermath of an apocalyptic pandemic, Left 4 Dead 2 focuses on four new Survivors, fighting against hordes of the Infected, who develop severe psychosis and exhibit zombie-like tendencies. The Survivors must fight their way through five campaigns, interspersed with safe houses that act as checkpoints, with the goal of escape at each campaign's finale.",5,//images.igdb.com/igdb/image/upload/t_thumb/co1y2f.jpg,Shooter,1258416000.0,Valve Corporation,//images.igdb.com/igdb/image/upload/t_thumb/cl2he.jpg
The Orange Box,"The Orange Box is a bundle that includes five titles from Valve: Half-Life 2; Half-Life 2:Episode 1; Half-Life 2: Episode Two; Team Fortress 2, the sequel to the game that put class-based, multiplayer team warfare on the map; and Portal, the game that blends puzzles, first person action, and adventure gaming to produce an experience like no other","The Orange Box is a bundle that includes five titles from Valve: Half-Life 2; Half-Life 2:Episode 1; Half-Life 2: Episode Two; Team Fortress 2, the sequel to the game that put class-based, multiplayer team warfare on the map; and Portal, the game that blends puzzles, first person action, and adventure gaming to produce an experience like no other.","The Orange Box is a bundle that includes five titles from Valve: Half-Life 2; Half-Life 2:Episode 1; Half-Life 2: Episode Two; Team Fortress 2, the sequel to the game that put class-based, multiplayer team warfare on the map; and Portal, the game that blends puzzles, first person action, and adventure gaming to produce an experience like no other.",4,//images.igdb.com/igdb/image/upload/t_thumb/co2yez.jpg,Shooter,1191974400.0,Valve Corporation,//images.igdb.com/igdb/image/upload/t_thumb/cl2he.jpg
Battlefield 3,"In Battlefield 3, players step into the role of the elite U","In Battlefield 3, players step into the role of the elite U.S. Marines. As the first boots on the ground, players will experience heart-pounding missions across diverse locations including Paris, Tehran and New York. As a U.S. Marine in the field, periods of tension and anticipation are punctuated by moments of complete chaos. As bullets whiz by, as walls crumble, as explosions force players to the ground, the battlefield feels more alive and interactive than ever before.","In Battlefield 3, players step into the role of the elite U.S. Marines. As the first boots on the ground, players will experience heart-pounding missions across diverse locations including Paris, Tehran and New York. As a U.S. Marine in the field, periods of tension and anticipation are punctuated by moments of complete chaos. As bullets whiz by, as walls crumble, as explosions force players to the ground, the battlefield feels more alive and interactive than ever before.",11,//images.igdb.com/igdb/image/upload/t_thumb/co1xbu.jpg,Shooter,1319500800.0,EA Digital Illusions CE,//images.igdb.com/igdb/image/upload/t_thumb/srtuszl5jkb0ykhzyt6l.jpg
Battlefield: Bad Company 2,"Battlefield: Bad Company 2 brings the award-winning Battlefield gameplay to the forefront of PC gaming with best-in-class vehicular combat and unexpected ""Battlefield moments","Battlefield: Bad Company 2 brings the award-winning Battlefield gameplay to the forefront of PC gaming with best-in-class vehicular combat and unexpected ""Battlefield moments.""

New vehicles like the ATV and a transport helicopter allow for all-new multiplayer tactics on the Battlefield. With the Frostbite-enabled Destruction 2.0 system, you can take down entire buildings and create your own fire points by blasting holes through cover. You can also compete in four-player teams in two squad-only game modes, fighting together to unlock exclusive awards and achievements.

Battles are set across expansive maps, each with a different tactical focus. The game also sees the return of the B Company squad in a more mature single-player campaign.","Battlefield: Bad Company 2 brings the award-winning Battlefield gameplay to the forefront of PC gaming with best-in-class vehicular combat and unexpected ""Battlefield moments.""

New vehicles like the ATV and a transport helicopter allow for all-new multiplayer tactics on the Battlefield. With the Frostbite-enabled Destruction 2.0 system, you can take down entire buildings and create your own fire points by blasting holes through cover. You can also compete in four-player teams in two squad-only game modes, fighting together to unlock exclusive awards and achievements.

Battles are set across expansive maps, each with a different tactical focus. The game also sees the return of the B Company squad in a more mature single-player campaign.",4,//images.igdb.com/igdb/image/upload/t_thumb/co1xbi.jpg,Shooter,1267488000.0,EA Digital Illusions CE,//images.igdb.com/igdb/image/upload/t_thumb/srtuszl5jkb0ykhzyt6l.jpg
Super Mario Bros.,"A side scrolling 2D platformer and first entry in the Super Mario franchise, Super Mario Bros","A side scrolling 2D platformer and first entry in the Super Mario franchise, Super Mario Bros. follows Italian plumber Mario as he treks across many levels of platforming challenges featuring hostile enemies to rescue Princess Peach from the evil king Bowser.","A side scrolling 2D platformer and first entry in the Super Mario franchise, Super Mario Bros. follows Italian plumber Mario as he treks across many levels of platforming challenges featuring hostile enemies to rescue Princess Peach from the evil king Bowser.",8,//images.igdb.com/igdb/image/upload/t_thumb/co2362.jpg,Platform,495417600.0,Nintendo EAD,//images.igdb.com/igdb/image/upload/t_thumb/apiicbbk1cjgwsrtypxl.jpg
